file,key,language,path,state,value,source_value,comment
Localizable,character.bear,en,,translated,Bear,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,es,,translated,Oso,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,et,,translated,Karu,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,eu,,translated,Hartza,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,fa,,translated,خرس,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,fi,,translated,Karhu,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,fo,,translated,Bjørn,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,fr,,translated,Ours,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ga,,translated,Béar,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,gl,,translated,Oso,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,gu,,translated,રીંછ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,he,,translated,דוב,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,hi,,translated,भालू,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,hr,,translated,Medvjed,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,hu,,translated,Medve,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,hy,,translated,Արջ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,id,,translated,Beruang,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,is,,translated,Björn,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,it,,translated,Orso,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ja,,translated,クマ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ka,,translated,დათვი,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,kk,,translated,Аю,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,km,,translated,ខ្លាឃ្មុំ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,kn,,translated,ಕರಡಿ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ko,,translated,곰,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,lo,,translated,ໝີ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,lt,,translated,Lokys,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,lv,,translated,Lācis,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,mk,,translated,Мечка,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ml,,translated,കരടി,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,mn,,translated,Баавгай,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,mr,,translated,अस्वल,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ms,,translated,Beruang,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,my,,translated,ဝက်ဝံ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,nb,,translated,Bjørn,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ne,,translated,भालु,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,nl,,translated,Beer,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,or,,translated,ଭାଲୁ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,pa,,translated,ਭਾਲੂ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,pl,,translated,Niedźwiedź,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,pt,,translated,Urso,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ro,,translated,Urs,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ru,,translated,Медведь,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,si,,translated,වලහා,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,sk,,translated,Medveď,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,sl,,translated,Medved,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,sq,,translated,Ari,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,sr,,translated,Medved,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,sv,,translated,Björn,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,sw,,translated,Dubu,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ta,,translated,கரடி,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,te,,translated,ఎలుగుబంటి,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,th,,translated,หมี,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,tr,,translated,Ayı,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ug,,translated,ئېيىق,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,uk,,translated,Ведмідь,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ur,,translated,ریچھ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,uz,,translated,Ayiq,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,vi,,translated,Gấu,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,zh,,translated,熊,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,zu,,translated,Ibhere,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,af,,translated,Hasie,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,am,,translated,ጥንቸል,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ar,,translated,أرنب,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,as,,translated,খৰগোশ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,az,,translated,Dovşan,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,be,,translated,Зайчык,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,bg,,translated,Зайче,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,bn,,translated,খরগোশ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,bo,,translated,རི་བོང,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,bs,,translated,Zeko,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ca,,translated,Conill,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,cs,,translated,Králík,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,cy,,translated,Cwningen,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,da,,translated,Kanin,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,de,,translated,Hase,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,el,,translated,Λαγός,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,en,,translated,Bunny,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,es,,translated,Conejo,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,et,,translated,Jänku,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,eu,,translated,Untxia,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,fa,,translated,خرگوش,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,fi,,translated,Pupu,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,fo,,translated,Kanina,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,fr,,translated,Lapin,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ga,,translated,Coinín,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,gl,,translated,Coello,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,gu,,translated,સસલું,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,he,,translated,ארנב,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,hi,,translated,खरगोश,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,hr,,translated,Zeko,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,hu,,translated,Nyuszi,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,hy,,translated,Նապաստակ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,id,,translated,Kelinci,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,is,,translated,Kanína,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,it,,translated,Coniglio,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ja,,translated,ウサギ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ka,,translated,კურდღელი,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,kk,,translated,Қоян,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,km,,translated,ទន្សាយ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,kn,,translated,ಮೊಲ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ko,,translated,토끼,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,lo,,translated,ກະຕ່າຍ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,lt,,translated,Zuikutis,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,lv,,translated,Zaķis,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,mk,,translated,Зајак,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ml,,translated,മുയൽ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,mn,,translated,Туулай,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,mr,,translated,ससा,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ms,,translated,Arnab,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,my,,translated,ယုန်ကလေး,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,nb,,translated,Kanin,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ne,,translated,खरायो,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,nl,,translated,Konijn,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,or,,translated,ଖରଗୋଶ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,pa,,translated,ਖਰਗੋਸ਼,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,pl,,translated,Królik,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,pt,,translated,Coelho,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ro,,translated,Iepuraș,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ru,,translated,Зайка,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,si,,translated,හාවා,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,sk,,translated,Zajačik,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,sl,,translated,Zajček,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,sq,,translated,Lepur,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,sr,,translated,Zeka,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,sv,,translated,Kanin,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,sw,,translated,Sungura,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ta,,translated,முயல்,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,te,,translated,కుందేలు,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,th,,translated,กระต่าย,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,tr,,translated,Tavşan,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ug,,translated,توشقان,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,uk,,translated,Зайчик,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,ur,,translated,خرگوش,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,uz,,translated,Quyon,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,vi,,translated,Thỏ,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,zh,,translated,兔子,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bunny,zu,,translated,Unogwaja,Bunny,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,af,,translated,Krap,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,am,,translated,ሸርጣን,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ar,,translated,سلطعون,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,as,,translated,কেঁকোৰা,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,az,,translated,Krab,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,be,,translated,Краб,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,bg,,translated,Рак,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,bn,,translated,কাঁকড়া,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,bo,,translated,སྡིག་སྲིན,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,bs,,translated,Rak,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ca,,translated,Cranc,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,cs,,translated,Krab,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,cy,,translated,Cranc,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,da,,translated,Krabbe,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,de,,translated,Krabbe,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,el,,translated,Καβούρι,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,en,,translated,Crab,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,es,,translated,Cangrejo,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,et,,translated,Krabi,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,eu,,translated,Karramarroa,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,fa,,translated,خرچنگ,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,fi,,translated,Rapu,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,fo,,translated,Krabbi,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,fr,,translated,Crabe,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ga,,translated,Portán,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,gl,,translated,Cangrexo,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,gu,,translated,કરચલો,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,he,,translated,סרטן,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,hi,,translated,केकड़ा,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,hr,,translated,Rak,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,hu,,translated,Rák,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,hy,,translated,Խեցգետին,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,id,,translated,Kepiting,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,is,,translated,Krabbi,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,it,,translated,Granchio,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ja,,translated,カニ,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ka,,translated,კიბორჩხალა,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,kk,,translated,Теңізшаян,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,km,,translated,ក្តាម,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,kn,,translated,ಏಡಿ,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ko,,translated,게,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,lo,,translated,ປູ,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,lt,,translated,Krabas,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,lv,,translated,Krabis,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,mk,,translated,Рак,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ml,,translated,ഞണ്ട്,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,mn,,translated,Хавч,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,mr,,translated,खेकडा,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ms,,translated,Ketam,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,my,,translated,ကဏန်း,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,nb,,translated,Krabbe,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ne,,translated,केकडा,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,nl,,translated,Krab,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,or,,translated,କଙ୍କଡ଼ା,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,pa,,translated,ਕੇਕੜਾ,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,pl,,translated,Krab,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,pt,,translated,Caranguejo,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ro,,translated,Crab,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.crab,ru,,translated,Краб,Crab,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
