file,key,language,path,state,value,source_value,comment
Localizable,home.pausedCards %lld,ru,plural.few,new,,%lld shells paused,"VoiceOver value for a level tile that holds a paused run, saying how many shells are being kept.  ||  Existing ru: one = 'На паузе %lld ракушка'; other = 'На паузе %lld ракушек'"
Localizable,home.pausedCards %lld,ru,plural.many,new,,%lld shells paused,"VoiceOver value for a level tile that holds a paused run, saying how many shells are being kept.  ||  Existing ru: one = 'На паузе %lld ракушка'; other = 'На паузе %lld ракушек'"
Localizable,levelIntro.cardsBullet %lld,pl,plural.few,new,,You can collect up to **%lld shells** in this level.,Third line of the level intro card: the most shells this level can yield. Emphasise the count and its noun with Markdown **bold**.  ||  Existing pl: one = 'Na tym poziomie możesz zebrać do **%lld muszli**.'; other = 'Na tym poziomie możesz zebrać do **%lld muszli**.'
Localizable,levelIntro.cardsBullet %lld,pl,plural.many,new,,You can collect up to **%lld shells** in this level.,Third line of the level intro card: the most shells this level can yield. Emphasise the count and its noun with Markdown **bold**.  ||  Existing pl: one = 'Na tym poziomie możesz zebrać do **%lld muszli**.'; other = 'Na tym poziomie możesz zebrać do **%lld muszli**.'
Localizable,levelIntro.cardsBullet %lld,ru,plural.few,new,,You can collect up to **%lld shells** in this level.,Third line of the level intro card: the most shells this level can yield. Emphasise the count and its noun with Markdown **bold**.  ||  Existing ru: one = 'На этом уровне можно собрать до **%lld ракушки**.'; other = 'На этом уровне можно собрать до **%lld ракушек**.'
Localizable,levelIntro.cardsBullet %lld,ru,plural.many,new,,You can collect up to **%lld shells** in this level.,Third line of the level intro card: the most shells this level can yield. Emphasise the count and its noun with Markdown **bold**.  ||  Existing ru: one = 'На этом уровне можно собрать до **%lld ракушки**.'; other = 'На этом уровне можно собрать до **%lld ракушек**.'
Localizable,notif.animal.title %lld,pl,plural.few,new,,Only %lld shells to go! 🐚,Push notification title when a new animal is nearly earned. The argument is the shells still needed.  ||  Existing pl: one = 'Została tylko %lld muszla! 🐚'; other = 'Zostało tylko %lld muszli! 🐚'
Localizable,notif.animal.title %lld,pl,plural.many,new,,Only %lld shells to go! 🐚,Push notification title when a new animal is nearly earned. The argument is the shells still needed.  ||  Existing pl: one = 'Została tylko %lld muszla! 🐚'; other = 'Zostało tylko %lld muszli! 🐚'
Localizable,notif.animal.title %lld,ru,plural.few,new,,Only %lld shells to go! 🐚,Push notification title when a new animal is nearly earned. The argument is the shells still needed.  ||  Existing ru: one = 'Осталась всего %lld ракушка! 🐚'; other = 'Осталось всего %lld ракушек! 🐚'
Localizable,notif.animal.title %lld,ru,plural.many,new,,Only %lld shells to go! 🐚,Push notification title when a new animal is nearly earned. The argument is the shells still needed.  ||  Existing ru: one = 'Осталась всего %lld ракушка! 🐚'; other = 'Осталось всего %lld ракушек! 🐚'
Localizable,notif.cards.title %lld,pl,plural.few,new,,%lld shells collected! 🐚,Push notification title celebrating a shell milestone. The argument is the player's total.  ||  Existing pl: one = 'Zebrano %lld muszlę! 🐚'; other = 'Zebrano %lld muszli! 🐚'
Localizable,notif.cards.title %lld,pl,plural.many,new,,%lld shells collected! 🐚,Push notification title celebrating a shell milestone. The argument is the player's total.  ||  Existing pl: one = 'Zebrano %lld muszlę! 🐚'; other = 'Zebrano %lld muszli! 🐚'
Localizable,notif.cards.title %lld,ru,plural.few,new,,%lld shells collected! 🐚,Push notification title celebrating a shell milestone. The argument is the player's total.  ||  Existing ru: one = 'Собрана %lld ракушка! 🐚'; other = 'Собрано %lld ракушек! 🐚'
Localizable,notif.cards.title %lld,ru,plural.many,new,,%lld shells collected! 🐚,Push notification title celebrating a shell milestone. The argument is the player's total.  ||  Existing ru: one = 'Собрана %lld ракушка! 🐚'; other = 'Собрано %lld ракушек! 🐚'
Localizable,notif.reactivate.body %lld,pl,plural.few,new,,It’s been %lld days. Let’s solve some sums and collect more shells!,Push notification body after a very long absence. The argument is the number of days since the last session.  ||  Existing pl: one = 'Minął %lld dzień. Rozwiążmy kilka działań i zbierzmy więcej muszli!'; other = 'Minęło %lld dni. Rozwiążmy kilka działań i zbierzmy więcej muszli!'
Localizable,notif.reactivate.body %lld,pl,plural.many,new,,It’s been %lld days. Let’s solve some sums and collect more shells!,Push notification body after a very long absence. The argument is the number of days since the last session.  ||  Existing pl: one = 'Minął %lld dzień. Rozwiążmy kilka działań i zbierzmy więcej muszli!'; other = 'Minęło %lld dni. Rozwiążmy kilka działań i zbierzmy więcej muszli!'
Localizable,notif.reactivate.body %lld,ru,plural.few,new,,It’s been %lld days. Let’s solve some sums and collect more shells!,Push notification body after a very long absence. The argument is the number of days since the last session.  ||  Existing ru: one = 'Прошёл %lld день. Давай решим несколько примеров и соберём ещё ракушек!'; other = 'Прошло %lld дней. Давай решим несколько примеров и соберём ещё ракушек!'
Localizable,notif.reactivate.body %lld,ru,plural.many,new,,It’s been %lld days. Let’s solve some sums and collect more shells!,Push notification body after a very long absence. The argument is the number of days since the last session.  ||  Existing ru: one = 'Прошёл %lld день. Давай решим несколько примеров и соберём ещё ракушек!'; other = 'Прошло %lld дней. Давай решим несколько примеров и соберём ещё ракушек!'
Localizable,notif.weekly.body %lld,pl,plural.few,new,,You have %lld shells in total. Ready for a few more?,Push notification body for the weekly recap. The argument is the player's all-time shell total.  ||  Existing pl: one = 'Masz łącznie %lld muszlę. Gotowy/a na kilka następnych?'; other = 'Masz łącznie %lld muszli. Gotowy/a na kilka następnych?'
Localizable,notif.weekly.body %lld,pl,plural.many,new,,You have %lld shells in total. Ready for a few more?,Push notification body for the weekly recap. The argument is the player's all-time shell total.  ||  Existing pl: one = 'Masz łącznie %lld muszlę. Gotowy/a na kilka następnych?'; other = 'Masz łącznie %lld muszli. Gotowy/a na kilka następnych?'
Localizable,notif.weekly.body %lld,ru,plural.few,new,,You have %lld shells in total. Ready for a few more?,Push notification body for the weekly recap. The argument is the player's all-time shell total.  ||  Existing ru: one = 'Всего у тебя %lld ракушка. Готов(а) собрать ещё?'; other = 'Всего у тебя %lld ракушек. Готов(а) собрать ещё?'
Localizable,notif.weekly.body %lld,ru,plural.many,new,,You have %lld shells in total. Ready for a few more?,Push notification body for the weekly recap. The argument is the player's all-time shell total.  ||  Existing ru: one = 'Всего у тебя %lld ракушка. Готов(а) собрать ещё?'; other = 'Всего у тебя %lld ракушек. Готов(а) собрать ещё?'
Localizable,notif.weekly.title %lld,pl,plural.few,new,,%lld shells this week! 🎉,Push notification title for the weekly recap. The argument is the shells collected this week.  ||  Existing pl: one = '%lld muszla w tym tygodniu! 🎉'; other = '%lld muszli w tym tygodniu! 🎉'
Localizable,notif.weekly.title %lld,pl,plural.many,new,,%lld shells this week! 🎉,Push notification title for the weekly recap. The argument is the shells collected this week.  ||  Existing pl: one = '%lld muszla w tym tygodniu! 🎉'; other = '%lld muszli w tym tygodniu! 🎉'
Localizable,notif.weekly.title %lld,ru,plural.few,new,,%lld shells this week! 🎉,Push notification title for the weekly recap. The argument is the shells collected this week.  ||  Existing ru: one = '%lld ракушка на этой неделе! 🎉'; other = '%lld ракушек на этой неделе! 🎉'
Localizable,notif.weekly.title %lld,ru,plural.many,new,,%lld shells this week! 🎉,Push notification title for the weekly recap. The argument is the shells collected this week.  ||  Existing ru: one = '%lld ракушка на этой неделе! 🎉'; other = '%lld ракушек на этой неделе! 🎉'
Localizable,premium.availableAt %lld,pl,plural.few,new,,Available from %lld shells,Status under a character still to be earned. The argument is the shell total that opens it.  ||  Existing pl: one = 'Dostępne od %lld muszli'; other = 'Dostępne od %lld muszli'
Localizable,premium.availableAt %lld,pl,plural.many,new,,Available from %lld shells,Status under a character still to be earned. The argument is the shell total that opens it.  ||  Existing pl: one = 'Dostępne od %lld muszli'; other = 'Dostępne od %lld muszli'
Localizable,premium.availableAt %lld,ru,plural.few,new,,Available from %lld shells,Status under a character still to be earned. The argument is the shell total that opens it.  ||  Existing ru: one = 'Доступно с %lld ракушки'; other = 'Доступно с %lld ракушек'
Localizable,premium.availableAt %lld,ru,plural.many,new,,Available from %lld shells,Status under a character still to be earned. The argument is the shell total that opens it.  ||  Existing ru: one = 'Доступно с %lld ракушки'; other = 'Доступно с %lld ракушек'
Localizable,premium.earnedCards %lld,pl,plural.few,new,,You’ve earned %lld shells,Status under a character showing how many shells the player has so far.  ||  Existing pl: one = 'Zdobyto %lld muszlę'; other = 'Zdobyto %lld muszli'
Localizable,premium.earnedCards %lld,pl,plural.many,new,,You’ve earned %lld shells,Status under a character showing how many shells the player has so far.  ||  Existing pl: one = 'Zdobyto %lld muszlę'; other = 'Zdobyto %lld muszli'
Localizable,premium.earnedCards %lld,ru,plural.few,new,,You’ve earned %lld shells,Status under a character showing how many shells the player has so far.  ||  Existing ru: one = 'Ты заработал(а) %lld ракушку'; other = 'Ты заработал(а) %lld ракушек'
Localizable,premium.earnedCards %lld,ru,plural.many,new,,You’ve earned %lld shells,Status under a character showing how many shells the player has so far.  ||  Existing ru: one = 'Ты заработал(а) %lld ракушку'; other = 'Ты заработал(а) %lld ракушек'
